;longmin;latmin;longmax;latmax;wkt;
Qingdao;119.48;35.65;120.87;36.76;POLYGON ((119.48 35.65, 120.87 35.65, 120.87 36.76, 119.48 36.76, 119.48 35.65));2015m12
Rennes;-1.72;48.08;-1.61;48.15;POLYGON ((-1.72 48.08, -1.61 48.08, -1.61 48.15, -1.72 48.15, -1.72 48.08));
Salvador;-38.53;-13.02;-38.42;-12.90;POLYGON ((-38.53 -13.02, -38.42 -13.02, -38.42 -12.90, -38.53 -12.90, -38.53 -13.02));2014m6
San.Juan.Puerto.Rico;-66.13;18.35;-66.00;18.47;POLYGON ((-66.13 18.35, -66.00 18.35, -66.00 18.47, -66.13 18.47, -66.13 18.35));2005m4
Santo.Domingo;127.28;36.26;127.52;36.43;POLYGON ((127.28 36.26, 127.52 36.26, 127.52 36.43, 127.28 36.43, 127.28 36.26));2009m1
Seattle;-122.41;47.51;-122.26;47.73;POLYGON ((-122.41 47.51, -122.26 47.51, -122.26 47.73, -122.41 47.73, -122.41 47.51));2019m7
Seville;-6.03;37.31;-5.87;37.45;POLYGON ((-6.03 37.31, -5.87 37.31, -5.87 37.45, -6.03 37.45, -6.03 37.31));
Shenyang;122.47;41.09;124.29;42.50;POLYGON ((122.47 41.09, 124.29 41.09, 124.29 42.50, 122.47 42.50, 122.47 41.09));2010m9
Shenzhen;113.89;22.52;114.21;22.75;POLYGON ((113.89 22.52, 114.21 22.52, 114.21 22.75, 113.89 22.75, 113.89 22.52));2004m12
Shijiazhuang;114.16;37.92;114.80;38.23;POLYGON ((114.16 37.92, 114.80 37.92, 114.80 38.23, 114.16 38.23, 114.16 37.92));2017m6
Shiraz;52.42;29.54;52.66;29.75;POLYGON ((52.42 29.54, 52.66 29.54, 52.66 29.75, 52.42 29.75, 52.42 29.54));2014m10
Suzhou;120.31;31.24;121.20;31.74;POLYGON ((120.31 31.24, 121.20 31.24, 121.20 31.74, 120.31 31.74, 120.31 31.24));2012m4
Sydney;150.74;-34.13;151.40;-33.54;POLYGON ((150.74 -34.13, 151.40 -34.13, 151.40 -33.54, 150.74 -33.54, 150.74 -34.13));2019m5
Tabriz;46.19;38.02;46.37;38.13;POLYGON ((46.19 38.02, 46.37 38.02, 46.37 38.13, 46.19 38.13, 46.19 38.02));2015m8
Taiyuan;112.43;37.67;112.74;38.06;POLYGON ((112.43 37.67, 112.74 37.67, 112.74 38.06, 112.43 38.06, 112.43 37.67));2020m12
Taoyuan;121.03;24.87;121.46;25.11;POLYGON ((121.03 24.87, 121.46 24.87, 121.46 25.11, 121.03 25.11, 121.03 24.87));2017m3
Tianjin;116.85;38.90;117.72;39.38;POLYGON ((116.85 38.90, 117.72 38.90, 117.72 39.38, 116.85 39.38, 116.85 38.90));2004m3
Turin;7.54;45.00;7.76;45.16;POLYGON ((7.54 45.00, 7.76 45.00, 7.76 45.16, 7.54 45.16, 7.54 45.00));
Urumqi;87.33;43.68;87.80;44.04;POLYGON ((87.33 43.68, 87.80 43.68, 87.80 44.04, 87.33 44.04, 87.33 43.68));2018m10
Valencia;-0.49;39.42;-0.33;39.53;POLYGON ((-0.49 39.42, -0.33 39.42, -0.33 39.53, -0.49 39.53, -0.49 39.42));
Valparaiso;-71.70;-33.13;-71.48;-32.95;POLYGON ((-71.70 -33.13, -71.48 -33.13, -71.48 -32.95, -71.70 -32.95, -71.70 -33.13));2005m11
Wenzhou;120.49;27.92;120.86;28.11;POLYGON ((120.49 27.92, 120.86 27.92, 120.86 28.11, 120.49 28.11, 120.49 27.92));2019m1
Wuhan;113.88;30.28;114.81;30.88;POLYGON ((113.88 30.28, 114.81 30.28, 114.81 30.88, 113.88 30.88, 113.88 30.28));2004m7
Wuxi;120.17;31.45;120.48;31.69;POLYGON ((120.17 31.45, 120.48 31.45, 120.48 31.69, 120.17 31.69, 120.17 31.45));2014m7
Xiamen;117.92;24.42;118.29;24.69;POLYGON ((117.92 24.42, 118.29 24.42, 118.29 24.69, 117.92 24.69, 117.92 24.42));2017m12
Xian;108.02;34.01;109.67;34.75;POLYGON ((108.02 34.01, 109.67 34.01, 109.67 34.75, 108.02 34.75, 108.02 34.01));2011m9
Xuzhou;117.05;34.09;117.50;34.43;POLYGON ((117.05 34.09, 117.50 34.09, 117.50 34.43, 117.05 34.43, 117.05 34.09));2019m9
Zhengzhou;113.36;34.61;113.90;34.93;POLYGON ((113.36 34.61, 113.90 34.61, 113.90 34.93, 113.36 34.93, 113.36 34.61));2013m12
